,Link,Name,Image-link,Price,Description
16,https://www.ebay.com/itm/384646249620?hash=item598eb3fc94:g:9WIAAOSw8G1hzgRf&amdata=enc%3AAQAHAAAA4GGIJEssXcEoWn7vS466kWfsLCNImncIxAace3%2FVLUR%2BqbIuMXdGxRQV7bJVDtyBdiH6UpxlTpvg1LGsACjBf0GtYkpsHRWvYR3Ci0yRafT5q%2Bs5INlrI%2BXGBQtSTUJKeAPSk0Qz8qe4mHxiqwop4k9GY%2FQe%2BPlQ5qx7sLGHKInQma%2BpvLQN6YWwlRGcr9oye%2BNY6WtT4iDRhhKlHCDfIVWGl407dOBHQrMcmePu78xZV56cUm62b%2Fz9MNMsGd3AcL1q8u7ABMuQvRg5%2FHcmkgQXMOeWo%2BnzCauDTPV8Z91u%7Ctkp%3ABFBM-qfe-cVg,AmScope Reflector EQ Telescope 127mm Aperture 1000mm Focal Length+Red Dot Finder,https://i.ebayimg.com/thumbs/images/g/9WIAAOSw8G1hzgRf/s-l225.jpg,$229.99,Brand New
17,https://www.ebay.com/itm/363864100607?hash=item54b7fd8eff:g:ANgAAOSw1-ZingoO,1946 Mount PALOMAR TELESCOPE Graphic Artist pictorial,https://i.ebayimg.com/thumbs/images/g/ANgAAOSw1-ZingoO/s-l225.jpg,$6.89,Pre-Owned
18,https://www.ebay.com/itm/125428074943?epid=54831045&hash=item1d341889bf:g:vWYAAOSwqxZivxSt,Tasco Luminova 40-060578 60mm F=700mm Refractor Telescope or parts good,https://i.ebayimg.com/thumbs/images/g/vWYAAOSwqxZivxSt/s-l225.jpg,$25.00,Pre-Owned
19,https://www.ebay.com/itm/361449646776?epid=56510678&hash=item542813eab8:g:1qQAAOSwgeBafkxL,"Barska 800X60mm 80060 Starwatcher Refractor Telescope w/ Tripod, AE10752",https://i.ebayimg.com/thumbs/images/g/1qQAAOSwgeBafkxL/s-l225.jpg,$79.99,Brand New
20,https://www.ebay.com/itm/185245894098?hash=item2b218405d2:g:0DUAAOSw7rZh17bS,Refraction Astronomical Telescope Doublet Objective Lens 52mm DIY Focal 600mm,https://i.ebayimg.com/thumbs/images/g/0DUAAOSw7rZh17bS/s-l225.jpg,$13.99,Brand New
21,https://www.ebay.com/itm/363554236980?hash=item54a5856a34:g:KXwAAOSwn-thTeDZ,Equatorial TELESCOPE Mount Light Weight How-To build PLANS,https://i.ebayimg.com/thumbs/images/g/KXwAAOSwn-thTeDZ/s-l225.jpg,$5.99,Pre-Owned
22,https://www.ebay.com/itm/403755581162?hash=item5e01b53eea:g:ktAAAOSwZlFiw8WN,NEW Celestron VX 9.25 SCT 235mm F/10 Schmidt Cassegrain Computerised Telescope ,https://i.ebayimg.com/thumbs/images/g/ktAAAOSwZlFiw8WN/s-l225.jpg,"$5,645.00",Brand New
23,https://www.ebay.com/itm/384928826742?hash=item599f8bc576:g:OigAAOSwifdimf2x,"MIZAR Guiding scope + mount  D=68 f=600 F8.8 0.956""/ 24.5mｍ 　",https://i.ebayimg.com/thumbs/images/g/OigAAOSwifdimf2x/s-l225.jpg,$235.00,Pre-Owned
24,https://www.ebay.com/itm/165478587759?epid=56531501&hash=item26874add6f:g:FOYAAOSwhUNifJ4m,Celestron Nexstar 4SE Scope Starbright XLT + Celestron 25mm lens,https://i.ebayimg.com/thumbs/images/g/FOYAAOSwhUNifJ4m/s-l225.jpg,$250.00,Pre-Owned
25,https://www.ebay.com/itm/175334114646?hash=item28d2ba4556:g:zd4AAOSwq0xgfTkl,Dia. 83mm Glass Achromatic Doublet Convex Lens for DIY Telescope Focal 400mm,https://i.ebayimg.com/thumbs/images/g/zd4AAOSwq0xgfTkl/s-l225.jpg,$50.76,Brand New
26,https://www.ebay.com/itm/384930046356?hash=item599f9e6194:g:uQQAAOSw0iNimt80,"Astro  Newton reflector tube LN100S f = 600ｍｍ (F = 6)  1.25""/ 31.7mｍ 　",https://i.ebayimg.com/thumbs/images/g/uQQAAOSw0iNimt80/s-l225.jpg,$360.00,Pre-Owned
