,title,imageUrl,description,price
33,Astronomers Star Finder Telescope How-To build PLANS,https://i.ebayimg.com/thumbs/images/g/UoUAAOSw-exejeHx/s-l225.jpg,Pre-Owned,$5.79
34,"Barska 700X76mm 70076 Starwatcher Reflector Telescope w/ Tripod, AE10756",https://i.ebayimg.com/thumbs/images/g/xMQAAOSwZR9afkxc/s-l225.jpg,Brand New,$99.99
35,Soviet telescope refractor MSHR RTM-60 1970s USSR.,https://i.ebayimg.com/thumbs/images/g/2fYAAOSwwrdiy~OX/s-l225.jpg,Pre-Owned,$350.00
36,"ASTRO Guiding scope + mount  D=50 f=500 F10 0.956""/ 24.5mｍ 　",https://i.ebayimg.com/thumbs/images/g/o8wAAOSwSxRime-9/s-l225.jpg,Pre-Owned,$235.00
37,57mm Optical Dural Objective Lens f DIY Refraction Astronomical Telescope Group,https://i.ebayimg.com/thumbs/images/g/p1AAAOSwLQRhgjIr/s-l225.jpg,Brand New,$28.49
38,AMSCOPE Telescope 45X-450X Magnification 900x70mm w/ Tripod,https://i.ebayimg.com/thumbs/images/g/zLIAAOSw7oBeDjd9/s-l225.jpg,Brand New,$109.99
39,Takahashi Astronomical Telescope Guide Mount Large (Gray) From Japan,https://i.ebayimg.com/thumbs/images/g/XpcAAOSwC1ZigQIG/s-l225.jpg,Pre-Owned,$164.70
40,"BARSKA 40070 Starwatcher Refractor Telescope w/ Case, Tripod & Software, AE10100",https://i.ebayimg.com/thumbs/images/g/L-cAAOSwZfNafkxA/s-l225.jpg,Brand New,$64.99
41,[Pre-owned w/case] Nikon Fieldscope I D=60 P Eye Piece 20x from JAPAN #731,https://i.ebayimg.com/thumbs/images/g/XfAAAOSwhAJgNfNH/s-l225.jpg,Pre-Owned,$179.99
42,51mm Glass Glass Objective Lens DIY Achromatic Telescope Focal 182mm Green Film,https://i.ebayimg.com/thumbs/images/g/rLMAAOSwgFNgfTkx/s-l225.jpg,Brand New,$21.23
43,IQCREW 35X-350X 76mm Newtonian Reflector Telescope,https://i.ebayimg.com/thumbs/images/g/LvUAAOSwfnhibDEp/s-l225.jpg,Open Box,$118.99
44,Coleman Astrowatch AT70 Refractor Telescope,https://i.ebayimg.com/thumbs/images/g/bSYAAOSwqZNhUkuV/s-l225.jpg,Pre-Owned,$39.99
45,Tasco StarGuide Hand Controller for Telescope. ,https://i.ebayimg.com/thumbs/images/g/y1AAAOSwf9dhen0Q/s-l225.jpg,Pre-Owned,$49.79
46,VTG Bausch & Lomb Balscope Ten 10 Power Telescope w Original Belt Case USA Made,https://i.ebayimg.com/thumbs/images/g/-JsAAOSwXvdizhXq/s-l225.jpg,Pre-Owned,$32.99
47,telescope,https://i.ebayimg.com/thumbs/images/g/iZEAAOSwtCFi2Snf/s-l225.jpg,Pre-Owned,$30.00
48,ANTIQUE BARDOU & SON PARIS RIFLE RANGE TELESCOPE 33X POWER BRASS SPY GLASS SCOPE,https://i.ebayimg.com/thumbs/images/g/-nsAAOSw3ktg2nu8/s-l225.jpg,Pre-Owned,$199.95
49,"APM Refractor Telescope Doublet SD Apo 140 For / 7 FPL53 Ota With 3.7 "" Abstract",https://i.ebayimg.com/thumbs/images/g/h00AAOSwTGNcnKZo/s-l225.jpg,Brand New,"$4,148.95"
50,Barska AE11124 Starwatcher 70060 Refractor Telescope,https://i.ebayimg.com/thumbs/images/g/ZcoAAOSwcjJgw9Hz/s-l225.jpg,Brand New,$119.99
51,70mm Aperture 150X Astronomical Telescope for Beginners with Tripod,https://i.ebayimg.com/thumbs/images/g/t3MAAOSwUvpgPaxF/s-l225.jpg,Brand New,$64.99
52,Barska 30070 - 225 Power Starwatcher Telescope AE12932,https://i.ebayimg.com/thumbs/images/g/UKoAAOSwNt1aflGD/s-l225.jpg,Brand New,$69.99
53,"Barska 700X60mm 70060 Starwatcher Refractor Telescope w/ Tripod, AE10750",https://i.ebayimg.com/thumbs/images/g/yoUAAOSwyi1a4Rad/s-l225.jpg,Brand New,$89.99
54,150X 70mm Aperture Astronomical Telescope Refractor Tripod Finder For Beginner,https://i.ebayimg.com/thumbs/images/g/c0gAAOSwDnpfx8AH/s-l225.jpg,Brand New,$56.99
55,Zoom Monocular Telescope Compact Waterproof Telescope for  Camping Bird Watching,https://i.ebayimg.com/thumbs/images/g/siUAAOSwleNgeU6k/s-l225.jpg,Brand New,$20.47
56,Edmund Scientifics AstroScan Telescope Carry Tote Bag with Strap New 30020-04,https://i.ebayimg.com/thumbs/images/g/KscAAOSwh85i2GoN/s-l225.jpg,Brand New,$44.95
57,Antique 19C Bardou & Sons Paris France 33X Rifle Range Brass + Leather Telescope,https://i.ebayimg.com/thumbs/images/g/c~MAAOSw5FZhAF~G/s-l225.jpg,Pre-Owned,$157.24
58,2PC 70mm K9 Optical Glass Lens Focal Length -150mm Optics Double Concave Lens,https://i.ebayimg.com/thumbs/images/g/VK8AAOSwSLlh5729/s-l225.jpg,Brand New,$22.79
59,JASON ZOOM TELESCOPE IN BOX VINTAGE 13X TO 40X with tripod,https://i.ebayimg.com/thumbs/images/g/A-UAAOSwcS9fG8Lq/s-l225.jpg,Pre-Owned,$45.00
60,"AmScope Refractor EQ Telescope 60mm Aperture, 800mm Focal Length +Red Dot Finder",https://i.ebayimg.com/thumbs/images/g/AT0AAOSwJ2thzffh/s-l225.jpg,Brand New,$159.99
61,"1.25""Binoviewer Binocular Viewer Telescopes Monocular Turn to Binoculars Adapter",https://i.ebayimg.com/thumbs/images/g/p0IAAOSwrchg2oOB/s-l225.jpg,Brand New,$142.40
62,Universal 8X Monocular Mobile Phone Telescope Cellphone Lens with Clip,https://i.ebayimg.com/thumbs/images/g/5rkAAOSwScFg7RAN/s-l225.jpg,Brand New,$9.90
63,MaxU-SOO Telescope Model 40070 With Tripod - K1,https://i.ebayimg.com/thumbs/images/g/bd4AAOSwtpNiwupv/s-l225.jpg,Pre-Owned,$45.00
64,"AmScope Refractor ALT-AZ 90mm Aperture, 600mm Focal Length +Red Dot Finder",https://i.ebayimg.com/thumbs/images/g/8rwAAOSwNk5hzgE3/s-l225.jpg,Brand New,$239.99
65,"AmScope Refractor EQ Telescope 70mm Aperture, 900mm Focal Length +Red Dot Finder",https://i.ebayimg.com/thumbs/images/g/g9EAAOSwxkhhzfpf/s-l225.jpg,Brand New,$169.99
66,"STEM Kids Tabletop Telescope & Tripod Stand, 360mm x 50mm (18x-27x-60x-90x Zoom)",https://i.ebayimg.com/thumbs/images/g/hEwAAOSwMGFhtX5N/s-l225.jpg,Brand New,$29.99
